employee_id,pay_date,deposit_date,EE Deferral $,EE Roth $,loan_amount,recordkeeper_employment_status,termination_date,source_system,transaction_type
E100010,2025-01-03,2025-01-07,0.00,0.00,0.00,,2025-01-01,Synthetic RK Trust,CONTRIBUTION
E100010,2025-01-17,2025-01-21,0.00,0.00,0.00,,2025-01-01,Synthetic RK Trust,CONTRIBUTION
E100010,2025-01-31,2025-02-04,0.00,0.00,0.00,,2025-01-01,Synthetic RK Trust,CONTRIBUTION
E100010,2025-02-14,2025-02-18,0.00,0.00,0.00,,2025-01-01,Synthetic RK Trust,CONTRIBUTION
E100011,2025-01-03,2025-01-07,1000.00,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100011,2025-01-17,2025-01-21,1000.00,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100011,2025-01-31,2025-02-04,1000.00,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100011,2025-02-14,2025-02-18,1000.00,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100012,2025-01-03,2025-01-07,500.64,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100012,2025-01-17,2025-01-21,500.64,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100012,2025-01-31,2025-02-04,500.64,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100012,2025-02-14,2025-02-18,559.74,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100013,2025-01-03,2025-01-07,0.00,141.65,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100013,2025-01-17,2025-01-21,0.00,141.65,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100013,2025-01-31,2025-02-04,0.00,141.65,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100013,2025-02-14,2025-02-18,0.00,157.54,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100014,2025-01-03,2025-01-07,666.43,0.00,73.08,active,,Synthetic RK Trust,CONTRIBUTION
E100014,2025-01-17,2025-01-21,597.38,0.00,73.08,active,,Synthetic RK Trust,CONTRIBUTION
E100014,2025-01-31,2025-02-04,597.38,0.00,73.08,active,,Synthetic RK Trust,CONTRIBUTION
E100014,2025-02-14,2025-02-18,597.38,0.00,73.08,active,,Synthetic RK Trust,CONTRIBUTION
E100015,2025-01-03,2025-01-07,57.64,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100015,2025-01-17,2025-01-21,57.64,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100015,2025-01-31,2025-02-04,57.64,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100015,2025-02-14,2025-02-18,57.64,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100016,2025-01-03,2025-01-07,468.64,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100016,2025-01-17,2025-01-21,468.64,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100016,2025-01-31,2025-02-04,468.64,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100016,2025-02-14,2025-02-18,468.64,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100017,2025-01-03,2025-01-07,170.45,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100017,2025-01-17,2025-01-21,170.45,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100017,2025-01-31,2025-02-04,170.45,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100017,2025-02-14,2025-02-18,170.45,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100018,2025-01-03,2025-01-07,0.00,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100018,2025-01-17,2025-01-21,0.00,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100018,2025-01-31,2025-02-04,0.00,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100018,2025-02-14,2025-02-18,0.00,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100019,2025-01-03,2025-01-07,101.98,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100019,2025-01-17,2025-01-21,101.98,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100019,2025-01-31,2025-02-04,101.98,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100019,2025-02-14,2025-02-18,101.98,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100020,2025-01-03,2025-01-07,549.39,0.00,120.70,active,,Synthetic RK Trust,CONTRIBUTION
E100020,2025-01-17,2025-01-21,506.99,0.00,120.70,active,,Synthetic RK Trust,CONTRIBUTION
E100020,2025-01-31,2025-02-04,564.96,0.00,120.70,active,,Synthetic RK Trust,CONTRIBUTION
E100020,2025-02-14,2025-02-18,506.99,0.00,120.70,active,,Synthetic RK Trust,CONTRIBUTION
E100021,2025-01-03,2025-01-07,300.33,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100021,2025-01-17,2025-01-21,340.44,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100021,2025-01-31,2025-02-04,300.33,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100021,2025-02-14,2025-02-18,300.33,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100022,2025-01-03,2025-01-07,211.27,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100022,2025-01-17,2025-01-21,211.27,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100022,2025-01-31,2025-02-04,211.27,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100022,2025-02-14,2025-02-18,211.27,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100023,2025-01-03,2025-01-07,379.84,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100023,2025-01-17,2025-01-21,379.84,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100023,2025-01-31,2025-02-04,379.84,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100023,2025-02-14,2025-02-18,379.84,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100024,2025-01-03,2025-01-07,546.13,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100024,2025-01-17,2025-01-21,546.13,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100024,2025-01-31,2025-02-04,633.44,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100024,2025-02-14,2025-02-18,591.81,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100025,2025-01-03,2025-01-07,120.34,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100025,2025-01-17,2025-01-21,120.34,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100025,2025-01-31,2025-02-04,120.34,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100025,2025-02-14,2025-02-18,120.34,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
RKONLY202501,2025-02-14,2025-02-18,250.00,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
