employee_id,pay_date,def_amount,roth_amount,loan_amount,deferral_pre,deferral_roth
E1008,2025-01-15,54.72,2.74,0.0,54.72,2.74
E1008,2025-01-29,197.24,9.86,0.0,197.24,9.86
E1008,2025-02-12,205.76,10.29,0.0,205.76,10.29
E1008,2025-02-26,50.99,2.55,0.0,50.99,2.55
E1008,2025-03-12,89.84,4.49,0.0,89.84,4.49
E1008,2025-03-26,185.12,9.26,0.0,185.12,9.26
E1008,2025-04-09,174.69,8.73,0.0,174.69,8.73
E1008,2025-04-23,73.21,3.66,0.0,73.21,3.66
E1008,2025-05-07,77.68,3.88,0.0,77.68,3.88
E1008,2025-05-21,127.21,6.36,0.0,127.21,6.36
E1008,2025-06-04,151.29,7.56,0.0,151.29,7.56
E1009,2025-01-01,106.4,5.32,0.0,106.4,5.32
E1009,2025-01-15,123.26,6.16,0.0,123.26,6.16
E1009,2025-01-29,174.54,8.73,0.0,174.54,8.73
E1009,2025-02-12,46.6,2.33,0.0,46.6,2.33
E1009,2025-02-26,85.44,4.27,0.0,85.44,4.27
E1009,2025-03-12,201.14,10.06,0.0,201.14,10.06
E1009,2025-03-26,132.1,6.61,0.0,132.1,6.61
E1009,2025-04-09,59.29,2.96,0.0,59.29,2.96
E1009,2025-04-23,120.53,6.03,0.0,120.53,6.03
E1009,2025-05-07,135.87,6.79,0.0,135.87,6.79
E1009,2025-05-21,83.64,4.18,0.0,83.64,4.18
E1009,2025-06-04,88.46,4.42,0.0,88.46,4.42
E1010,2025-01-01,107.91,5.4,0.0,107.91,5.4
E1010,2025-01-15,43.61,2.18,0.0,43.61,2.18
E1010,2025-01-29,97.97,4.9,0.0,97.97,4.9
E1010,2025-02-12,78.06,3.9,0.0,78.06,3.9
E1010,2025-02-26,61.56,3.08,0.0,61.56,3.08
E1010,2025-03-12,200.29,10.01,0.0,200.29,10.01
E1010,2025-03-26,146.85,7.34,0.0,146.85,7.34
E1010,2025-04-09,182.05,9.1,0.0,182.05,9.1
E1010,2025-04-23,129.72,6.49,0.0,129.72,6.49
E1010,2025-05-07,55.65,2.78,0.0,55.65,2.78
E1010,2025-05-21,136.68,6.83,0.0,136.68,6.83
E1010,2025-06-04,145.63,7.28,0.0,145.63,7.28
E1011,2025-01-01,174.18,8.71,0.0,174.18,8.71
E1011,2025-01-15,62.96,3.15,0.0,62.96,3.15
E1011,2025-01-29,91.08,4.55,0.0,91.08,4.55
E1011,2025-02-12,105.35,5.27,0.0,105.35,5.27
E1011,2025-02-26,156.27,7.81,0.0,156.27,7.81
E1011,2025-03-12,142.74,7.14,0.0,142.74,7.14
E1011,2025-03-26,104.1,5.21,0.0,104.1,5.21
E1011,2025-04-09,217.57,10.88,0.0,217.57,10.88
E1011,2025-04-23,149.04,7.45,0.0,149.04,7.45
E1011,2025-05-07,82.7,4.14,0.0,82.7,4.14
E1011,2025-05-21,67.51,3.38,0.0,67.51,3.38
E1011,2025-06-04,84.27,4.21,0.0,84.27,4.21
E1012,2025-01-01,68.92,3.45,0.0,68.92,3.45
E1012,2025-01-15,73.58,3.68,0.0,73.58,3.68
E1012,2025-01-29,91.32,4.57,0.0,91.32,4.57
E1012,2025-02-12,71.21,3.56,0.0,71.21,3.56
E1012,2025-02-26,201.42,10.07,0.0,201.42,10.07
E1012,2025-03-12,54.44,2.72,0.0,54.44,2.72
E1012,2025-03-26,134.41,6.72,0.0,134.41,6.72
E1012,2025-04-09,113.87,5.69,0.0,113.87,5.69
E1012,2025-04-23,216.83,10.84,0.0,216.83,10.84
E1012,2025-05-07,60.17,3.01,0.0,60.17,3.01
E1012,2025-05-21,111.61,5.58,0.0,111.61,5.58
E1012,2025-06-04,214.5,10.73,0.0,214.5,10.73
E1013,2025-01-01,187.07,9.35,0.0,187.07,9.35
E1013,2025-01-15,86.42,4.32,0.0,86.42,4.32
E1013,2025-01-29,70.76,3.54,0.0,70.76,3.54
E1013,2025-02-12,160.36,8.02,0.0,160.36,8.02
E1013,2025-02-26,207.29,10.36,0.0,207.29,10.36
E1013,2025-03-12,140.22,7.01,0.0,140.22,7.01
E1013,2025-03-26,142.89,7.14,0.0,142.89,7.14
E1013,2025-04-09,90.4,4.52,0.0,90.4,4.52
E1013,2025-04-23,178.51,8.93,0.0,178.51,8.93
E1013,2025-05-07,73.67,3.68,0.0,73.67,3.68
E1013,2025-05-21,98.26,4.91,0.0,98.26,4.91
E1013,2025-06-04,116.58,5.83,0.0,116.58,5.83
E1014,2025-01-01,131.37,6.57,0.0,131.37,6.57
E1014,2025-01-15,83.63,4.18,0.0,83.63,4.18
E1014,2025-01-29,60.67,3.03,0.0,60.67,3.03
E1014,2025-02-12,91.95,4.6,0.0,91.95,4.6
E1014,2025-02-26,144.62,7.23,0.0,144.62,7.23
E1014,2025-03-12,67.79,3.39,0.0,67.79,3.39
E1014,2025-03-26,126.61,6.33,0.0,126.61,6.33
E1014,2025-04-09,49.33,2.47,0.0,49.33,2.47
E1014,2025-04-23,100.59,5.03,0.0,100.59,5.03
E1014,2025-05-07,64.19,3.21,0.0,64.19,3.21
E1014,2025-05-21,218.19,10.91,0.0,218.19,10.91
E1014,2025-06-04,185.78,9.29,0.0,185.78,9.29
E1015,2025-01-01,85.84,4.29,0.0,85.84,4.29
E1015,2025-01-15,162.67,8.13,0.0,162.67,8.13
E1015,2025-01-29,176.84,8.84,0.0,176.84,8.84
E1015,2025-02-12,124.88,6.24,0.0,124.88,6.24
E1015,2025-02-26,114.13,5.71,0.0,114.13,5.71
E1015,2025-03-12,102.8,5.14,0.0,102.8,5.14
E1015,2025-03-26,207.32,10.37,0.0,207.32,10.37
E1015,2025-04-09,213.7,10.69,0.0,213.7,10.69
E1015,2025-04-23,62.37,3.12,0.0,62.37,3.12
E1015,2025-05-07,171.56,8.58,0.0,171.56,8.58
E1015,2025-05-21,208.9,10.45,0.0,208.9,10.45
E1015,2025-06-04,72.62,3.63,0.0,72.62,3.63
E1016,2025-01-01,173.4,8.67,0.0,173.4,8.67
E1016,2025-01-15,191.53,9.58,0.0,191.53,9.58
E1016,2025-01-29,183.15,9.16,0.0,183.15,9.16
E1016,2025-02-12,76.29,3.81,0.0,76.29,3.81
E1016,2025-02-26,69.46,3.47,0.0,69.46,3.47
E1016,2025-03-12,69.57,3.48,0.0,69.57,3.48
E1016,2025-03-26,186.62,9.33,0.0,186.62,9.33
E1016,2025-04-09,159.74,7.99,0.0,159.74,7.99
E1016,2025-04-23,134.15,6.71,0.0,134.15,6.71
E1016,2025-05-07,197.9,9.9,0.0,197.9,9.9
E1016,2025-05-21,110.64,5.53,0.0,110.64,5.53
E1016,2025-06-04,186.99,9.35,0.0,186.99,9.35
E1017,2025-01-01,119.04,5.95,0.0,119.04,5.95
E1017,2025-01-15,107.85,5.39,0.0,107.85,5.39
E1017,2025-01-29,123.28,6.16,0.0,123.28,6.16
E1017,2025-02-12,94.25,4.71,0.0,94.25,4.71
E1017,2025-02-26,130.49,6.52,0.0,130.49,6.52
E1017,2025-03-12,81.8,4.09,0.0,81.8,4.09
E1017,2025-03-26,201.92,10.1,0.0,201.92,10.1
E1017,2025-04-09,109.1,5.46,0.0,109.1,5.46
E1017,2025-04-23,137.84,6.89,0.0,137.84,6.89
E1017,2025-05-07,203.16,10.16,0.0,203.16,10.16
E1017,2025-05-21,152.36,7.62,0.0,152.36,7.62
E1017,2025-06-04,61.04,3.05,0.0,61.04,3.05
E1018,2025-01-01,209.17,10.46,0.0,209.17,10.46
E1018,2025-01-15,152.99,7.65,0.0,152.99,7.65
E1018,2025-01-29,100.28,5.01,0.0,100.28,5.01
E1018,2025-02-12,65.07,3.25,0.0,65.07,3.25
E1018,2025-02-26,182.92,9.15,0.0,182.92,9.15
E1018,2025-03-12,151.61,7.58,0.0,151.61,7.58
E1018,2025-03-26,136.02,6.8,0.0,136.02,6.8
E1018,2025-04-09,200.9,10.05,0.0,200.9,10.05
E1018,2025-04-23,181.95,9.1,0.0,181.95,9.1
E1018,2025-05-07,67.3,3.37,0.0,67.3,3.37
E1018,2025-05-21,84.73,4.24,0.0,84.73,4.24
E1018,2025-06-04,173.91,8.7,0.0,173.91,8.7
E1019,2025-01-01,46.04,2.3,0.0,46.04,2.3
E1019,2025-01-15,142.58,7.13,0.0,142.58,7.13
E1019,2025-01-29,177.24,8.86,0.0,177.24,8.86
E1019,2025-02-12,197.82,9.89,0.0,197.82,9.89
E1019,2025-02-26,101.57,5.08,0.0,101.57,5.08
E1019,2025-03-12,187.83,9.39,0.0,187.83,9.39
E1019,2025-03-26,59.91,3.0,0.0,59.91,3.0
E1019,2025-04-09,192.36,9.62,0.0,192.36,9.62
E1019,2025-04-23,62.95,3.15,0.0,62.95,3.15
E1019,2025-05-07,111.51,5.58,0.0,111.51,5.58
E1019,2025-05-21,183.51,9.18,0.0,183.51,9.18
E1019,2025-06-04,66.99,3.35,0.0,66.99,3.35
E1020,2025-01-01,81.27,4.06,0.0,81.27,4.06
E1020,2025-01-15,170.01,8.5,0.0,170.01,8.5
E1020,2025-01-29,169.61,8.48,0.0,169.61,8.48
E1020,2025-02-12,155.41,7.77,0.0,155.41,7.77
E1020,2025-02-26,164.91,8.25,0.0,164.91,8.25
E1020,2025-03-12,137.69,6.88,0.0,137.69,6.88
E1020,2025-03-26,85.32,4.27,0.0,85.32,4.27
E1020,2025-04-09,102.23,5.11,0.0,102.23,5.11
E1020,2025-04-23,72.69,3.63,0.0,72.69,3.63
E1020,2025-05-07,203.52,10.18,0.0,203.52,10.18
E1020,2025-05-21,145.01,7.25,0.0,145.01,7.25
E1020,2025-06-04,112.15,5.61,0.0,112.15,5.61
E1021,2025-01-01,123.16,6.16,0.0,123.16,6.16
E1021,2025-01-15,67.6,3.38,0.0,67.6,3.38
E1021,2025-01-29,145.52,7.28,0.0,145.52,7.28
E1021,2025-02-12,131.06,6.55,0.0,131.06,6.55
E1021,2025-02-26,150.06,7.5,0.0,150.06,7.5
E1021,2025-03-12,196.98,9.85,0.0,196.98,9.85
E1021,2025-03-26,207.78,10.39,0.0,207.78,10.39
E1021,2025-04-09,141.72,7.09,0.0,141.72,7.09
E1021,2025-04-23,165.4,8.27,0.0,165.4,8.27
E1021,2025-05-07,206.05,10.3,0.0,206.05,10.3
E1021,2025-05-21,167.3,8.37,0.0,167.3,8.37
E1021,2025-06-04,67.46,3.37,0.0,67.46,3.37
E1022,2025-01-01,143.73,7.19,0.0,143.73,7.19
E1022,2025-01-15,149.21,7.46,0.0,149.21,7.46
E1022,2025-01-29,116.34,5.82,0.0,116.34,5.82
E1022,2025-02-12,172.56,8.63,0.0,172.56,8.63
E1022,2025-02-26,208.19,10.41,0.0,208.19,10.41
E1022,2025-03-12,206.6,10.33,0.0,206.6,10.33
E1022,2025-03-26,60.38,3.02,0.0,60.38,3.02
E1022,2025-04-09,217.27,10.86,0.0,217.27,10.86
E1022,2025-04-23,62.44,3.12,0.0,62.44,3.12
E1022,2025-05-07,205.75,10.29,0.0,205.75,10.29
E1022,2025-05-21,196.58,9.83,0.0,196.58,9.83
E1022,2025-06-04,133.39,6.67,0.0,133.39,6.67
E1023,2025-01-01,146.43,7.32,0.0,146.43,7.32
E1023,2025-01-15,111.82,5.59,0.0,111.82,5.59
E1023,2025-01-29,49.86,2.49,0.0,49.86,2.49
E1023,2025-02-12,100.34,5.02,0.0,100.34,5.02
E1023,2025-02-26,184.51,9.23,0.0,184.51,9.23
E1023,2025-03-12,40.83,2.04,0.0,40.83,2.04
E1023,2025-03-26,111.67,5.58,0.0,111.67,5.58
E1023,2025-04-09,136.73,6.84,0.0,136.73,6.84
E1023,2025-04-23,205.57,10.28,0.0,205.57,10.28
E1023,2025-05-07,102.34,5.12,0.0,102.34,5.12
E1023,2025-05-21,102.45,5.12,0.0,102.45,5.12
E1023,2025-06-04,172.75,8.64,0.0,172.75,8.64
E1024,2025-01-01,80.43,4.02,0.0,80.43,4.02
E1024,2025-01-15,121.44,6.07,0.0,121.44,6.07
E1024,2025-01-29,65.35,3.27,0.0,65.35,3.27
E1024,2025-02-12,71.75,3.59,0.0,71.75,3.59
E1024,2025-02-26,115.41,5.77,0.0,115.41,5.77
E1024,2025-03-12,204.67,10.23,0.0,204.67,10.23
E1024,2025-03-26,105.23,5.26,0.0,105.23,5.26
E1024,2025-04-09,144.51,7.23,0.0,144.51,7.23
E1024,2025-04-23,153.81,7.69,0.0,153.81,7.69
E1024,2025-05-07,42.36,2.12,0.0,42.36,2.12
E1024,2025-05-21,159.44,7.97,0.0,159.44,7.97
E1024,2025-06-04,72.05,3.6,0.0,72.05,3.6
E1025,2025-01-01,212.99,10.65,0.0,212.99,10.65
E1025,2025-01-15,66.76,3.34,0.0,66.76,3.34
E1025,2025-01-29,114.63,5.73,0.0,114.63,5.73
E1025,2025-02-12,55.36,2.77,0.0,55.36,2.77
E1025,2025-02-26,219.44,10.97,0.0,219.44,10.97
E1025,2025-03-12,130.4,6.52,0.0,130.4,6.52
E1025,2025-03-26,147.17,7.36,0.0,147.17,7.36
E1025,2025-04-09,52.07,2.6,0.0,52.07,2.6
E1025,2025-04-23,174.99,8.75,0.0,174.99,8.75
E1025,2025-05-07,77.78,3.89,0.0,77.78,3.89
E1025,2025-05-21,201.65,10.08,0.0,201.65,10.08
E1025,2025-06-04,76.93,3.85,0.0,76.93,3.85
E1026,2025-01-01,46.58,2.33,0.0,46.58,2.33
E1026,2025-01-15,124.97,6.25,0.0,124.97,6.25
E1026,2025-01-29,141.67,7.08,0.0,141.67,7.08
E1026,2025-02-12,179.59,8.98,0.0,179.59,8.98
E1026,2025-02-26,121.59,6.08,0.0,121.59,6.08
E1026,2025-03-12,134.39,6.72,0.0,134.39,6.72
E1026,2025-03-26,119.34,5.97,0.0,119.34,5.97
E1026,2025-04-09,112.14,5.61,0.0,112.14,5.61
E1026,2025-04-23,140.74,7.04,0.0,140.74,7.04
E1026,2025-05-07,67.94,3.4,0.0,67.94,3.4
E1026,2025-05-21,195.12,9.76,0.0,195.12,9.76
E1026,2025-06-04,210.3,10.52,0.0,210.3,10.52
E1027,2025-01-01,107.2,5.36,0.0,107.2,5.36
E1027,2025-01-15,88.73,4.44,0.0,88.73,4.44
E1027,2025-01-29,155.92,7.8,0.0,155.92,7.8
E1027,2025-02-12,113.57,5.68,0.0,113.57,5.68
E1027,2025-02-26,44.57,2.23,0.0,44.57,2.23
E1027,2025-03-12,68.11,3.41,0.0,68.11,3.41
E1027,2025-03-26,168.88,8.44,0.0,168.88,8.44
E1027,2025-04-09,158.61,7.93,0.0,158.61,7.93
E1027,2025-04-23,44.88,2.24,0.0,44.88,2.24
E1027,2025-05-07,79.95,4.0,0.0,79.95,4.0
E1027,2025-05-21,81.59,4.08,0.0,81.59,4.08
E1027,2025-06-04,160.94,8.05,0.0,160.94,8.05
E1028,2025-01-01,43.55,2.18,0.0,43.55,2.18
E1028,2025-01-15,58.74,2.94,0.0,58.74,2.94
E1028,2025-01-29,183.98,9.2,0.0,183.98,9.2
E1028,2025-02-12,72.14,3.61,0.0,72.14,3.61
E1028,2025-02-26,82.87,4.14,0.0,82.87,4.14
E1028,2025-03-12,57.9,2.9,0.0,57.9,2.9
E1028,2025-03-26,83.77,4.19,0.0,83.77,4.19
E1028,2025-04-09,170.01,8.5,0.0,170.01,8.5
E1028,2025-04-23,194.03,9.7,0.0,194.03,9.7
E1028,2025-05-07,189.44,9.47,0.0,189.44,9.47
E1028,2025-05-21,111.49,5.57,0.0,111.49,5.57
E1028,2025-06-04,160.26,8.01,0.0,160.26,8.01
E1029,2025-01-01,76.9,3.85,0.0,76.9,3.85
E1029,2025-01-15,92.77,4.64,0.0,92.77,4.64
E1029,2025-01-29,201.34,10.07,0.0,201.34,10.07
E1029,2025-02-12,55.39,2.77,0.0,55.39,2.77
E1029,2025-02-26,77.42,3.87,0.0,77.42,3.87
E1029,2025-03-12,44.78,2.24,0.0,44.78,2.24
E1029,2025-03-26,72.66,3.63,0.0,72.66,3.63
E1029,2025-04-09,144.95,7.25,0.0,144.95,7.25
E1029,2025-04-23,115.86,5.79,0.0,115.86,5.79
E1029,2025-05-07,200.68,10.03,0.0,200.68,10.03
E1029,2025-05-21,187.14,9.36,0.0,187.14,9.36
E1029,2025-06-04,101.53,5.08,0.0,101.53,5.08
E1030,2025-01-01,86.7,4.33,0.0,86.7,4.33
E1030,2025-01-15,108.34,5.42,0.0,108.34,5.42
E1030,2025-01-29,146.25,7.31,0.0,146.25,7.31
E1030,2025-02-12,88.25,4.41,0.0,88.25,4.41
E1030,2025-02-26,152.35,7.62,0.0,152.35,7.62
E1030,2025-03-12,113.69,5.68,0.0,113.69,5.68
E1030,2025-03-26,139.37,6.97,0.0,139.37,6.97
E1030,2025-04-09,118.5,5.93,0.0,118.5,5.93
E1030,2025-04-23,210.72,10.54,0.0,210.72,10.54
E1030,2025-05-07,177.45,8.87,0.0,177.45,8.87
E1030,2025-05-21,65.22,3.26,0.0,65.22,3.26
E1030,2025-06-04,196.32,9.82,0.0,196.32,9.82
E1031,2025-01-01,127.74,6.39,0.0,127.74,6.39
E1031,2025-01-15,201.02,10.05,0.0,201.02,10.05
E1031,2025-01-29,183.97,9.2,0.0,183.97,9.2
E1031,2025-02-12,116.54,5.83,0.0,116.54,5.83
E1031,2025-02-26,44.04,2.2,0.0,44.04,2.2
E1031,2025-03-12,137.49,6.87,0.0,137.49,6.87
E1031,2025-03-26,154.03,7.7,0.0,154.03,7.7
E1031,2025-04-09,86.42,4.32,0.0,86.42,4.32
E1031,2025-04-23,65.08,3.25,0.0,65.08,3.25
E1031,2025-05-07,190.29,9.51,0.0,190.29,9.51
E1031,2025-05-21,217.19,10.86,0.0,217.19,10.86
E1031,2025-06-04,134.62,6.73,0.0,134.62,6.73
E1032,2025-01-01,70.9,3.55,0.0,70.9,3.55
E1032,2025-01-15,89.02,4.45,0.0,89.02,4.45
E1032,2025-01-29,43.31,2.17,0.0,43.31,2.17
E1032,2025-02-12,61.2,3.06,0.0,61.2,3.06
E1032,2025-02-26,143.77,7.19,0.0,143.77,7.19
E1032,2025-03-12,139.75,6.99,0.0,139.75,6.99
E1032,2025-03-26,157.26,7.86,0.0,157.26,7.86
E1032,2025-04-09,77.16,3.86,0.0,77.16,3.86
E1032,2025-04-23,41.98,2.1,0.0,41.98,2.1
E1032,2025-05-07,64.64,3.23,0.0,64.64,3.23
E1032,2025-05-21,202.0,10.1,0.0,202.0,10.1
E1032,2025-06-04,197.3,9.87,0.0,197.3,9.87
E1033,2025-01-01,148.09,7.4,0.0,148.09,7.4
E1033,2025-01-15,159.71,7.99,0.0,159.71,7.99
E1033,2025-01-29,71.57,3.58,0.0,71.57,3.58
E1033,2025-02-12,204.59,10.23,0.0,204.59,10.23
E1033,2025-02-26,115.38,5.77,0.0,115.38,5.77
E1033,2025-03-12,108.96,5.45,0.0,108.96,5.45
E1033,2025-03-26,133.41,6.67,0.0,133.41,6.67
E1033,2025-04-09,48.45,2.42,0.0,48.45,2.42
E1033,2025-04-23,69.93,3.5,0.0,69.93,3.5
E1033,2025-05-07,172.85,8.64,0.0,172.85,8.64
E1033,2025-05-21,54.9,2.75,0.0,54.9,2.75
E1033,2025-06-04,148.57,7.43,0.0,148.57,7.43
E1034,2025-01-01,84.16,4.21,0.0,84.16,4.21
E1034,2025-01-15,110.07,5.5,0.0,110.07,5.5
E1034,2025-01-29,91.96,4.6,0.0,91.96,4.6
E1034,2025-02-12,104.02,5.2,0.0,104.02,5.2
E1034,2025-02-26,169.43,8.47,0.0,169.43,8.47
E1034,2025-03-12,93.48,4.67,0.0,93.48,4.67
E1034,2025-03-26,141.95,7.1,0.0,141.95,7.1
E1034,2025-04-09,159.46,7.97,0.0,159.46,7.97
E1034,2025-04-23,208.63,10.43,0.0,208.63,10.43
E1034,2025-05-07,171.86,8.59,0.0,171.86,8.59
E1034,2025-05-21,78.69,3.93,0.0,78.69,3.93
E1034,2025-06-04,45.61,2.28,0.0,45.61,2.28
E1035,2025-01-01,87.21,4.36,0.0,87.21,4.36
E1035,2025-01-15,147.11,7.36,0.0,147.11,7.36
E1035,2025-01-29,49.26,2.46,0.0,49.26,2.46
E1035,2025-02-12,147.43,7.37,0.0,147.43,7.37
E1035,2025-02-26,100.16,5.01,0.0,100.16,5.01
E1035,2025-03-12,178.76,8.94,0.0,178.76,8.94
E1035,2025-03-26,59.19,2.96,0.0,59.19,2.96
E1035,2025-04-09,53.52,2.68,0.0,53.52,2.68
E1035,2025-04-23,171.07,8.55,0.0,171.07,8.55
E1035,2025-05-07,129.19,6.46,0.0,129.19,6.46
E1035,2025-05-21,163.91,8.2,0.0,163.91,8.2
E1035,2025-06-04,118.27,5.91,0.0,118.27,5.91
E1036,2025-01-01,84.35,4.22,0.0,84.35,4.22
E1036,2025-01-15,187.44,9.37,0.0,187.44,9.37
E1036,2025-01-29,183.89,9.19,0.0,183.89,9.19
E1036,2025-02-12,165.05,8.25,0.0,165.05,8.25
E1036,2025-02-26,88.99,4.45,0.0,88.99,4.45
E1036,2025-03-12,146.24,7.31,0.0,146.24,7.31
E1036,2025-03-26,104.98,5.25,0.0,104.98,5.25
E1036,2025-04-09,56.48,2.82,0.0,56.48,2.82
E1036,2025-04-23,205.12,10.26,0.0,205.12,10.26
E1036,2025-05-07,211.04,10.55,0.0,211.04,10.55
E1036,2025-05-21,120.28,6.01,0.0,120.28,6.01
E1036,2025-06-04,73.32,3.67,0.0,73.32,3.67
E1037,2025-01-01,137.54,6.88,0.0,137.54,6.88
E1037,2025-01-15,197.13,9.86,0.0,197.13,9.86
E1037,2025-01-29,171.8,8.59,0.0,171.8,8.59
E1037,2025-02-12,185.18,9.26,0.0,185.18,9.26
